order_id,payment_sequential,payment_type,payment_installments,payment_value
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0
b2bb080b6bc860118a246fd9b6fad6da,1,credit_card,1,173.84
afef48d3c8a0b1b7c9b7f8f922fb5674,1,credit_card,5,153.41
110d9355d6338eab0a65a0cacdde5434,1,credit_card,5,566.4
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
b19ca559688b49e8cf7f88c1aa3f0009,1,credit_card,7,73.34
557cc2675910c4a6c9b54ad276f25097,1,credit_card,1,56.77
85a4fbdba48c815924115fb82330071c,1,credit_card,3,34.09
46ee6eaca194413758f200a6974b7e4d,1,credit_card,3,71.99
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
1d92d2ce1ae2e0510b5ce50c5be578c6,1,credit_card,2,110.03
a5f860aaf6a3c35399495aefe92d363f,1,credit_card,1,75.75
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30.0
3597f6476c27b4e1cc2f58588116f8f5,1,boleto,1,85.14
648b4f683ccf074ebe65a73c8096dd18,1,credit_card,4,139.87
6cdb86865449a92089579ea715e1c1d1,1,credit_card,1,52.57
76b8568803f110a59ece4167463a4a7e,1,debit_card,1,76.39
7250e10eca3d7f71a091ac5752d3228f,1,credit_card,1,221.96
d189b98b9c4f5325db664c5455fe927c,1,credit_card,1,341.58
6b58f3523e45f9838f702acbc21e2f51,1,credit_card,1,44.23
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
aeb81ccabe4f164a26e763cd5b07fd99,1,boleto,1,70.89
29aefbcf33949b65e5303167977e0362,1,voucher,1,84.88
ce7cf6dd8f80dfb98716950ae40eca59,1,boleto,1,171.75
7246a71d326111872bfdfd34f495dc4f,1,credit_card,5,117.53
838411338443a817cfb4c26f0f7a9c9a,1,boleto,1,63.7
e147052b9ecc00bf938f9e8581944207,1,credit_card,4,263.95
0bdb173bda4bf7e4109fe707c309252a,1,credit_card,10,132.95
47d051e89cf6490245136694a26a4395,1,credit_card,5,107.35
0cd19e832fefb17664d1a294b90ad192,1,credit_card,10,110.2
adc2f0c9fd838d820339f8220c1adf08,2,voucher,1,30.0
3be1b5820b7f93acc617a3b680f37c91,1,credit_card,5,349.99
ef0beb334211d552bb4bbb9b43e60248,1,credit_card,2,158.98
7a415e8280c3ae4d608481124c4f5d62,1,credit_card,1,68.7
e8f9288c671277ab525571871aef27cd,1,credit_card,3,36.0
61792c6272346d7f4b7c5b1747df7b1a,1,credit_card,4,49.34
65bbd0719855fe808bb19f62dfa9f42c,1,credit_card,1,354.64
83c55d64c56ad16ba3c0f7858cd709d0,1,credit_card,8,408.66
3d7fb1dd6ff6f0eedb9976eda81e4a95,2,voucher,1,20.0
952241c48f34d58c23ca57964d413834,1,credit_card,2,88.2
332e264249f30a888b81bffd7a84e03c,1,boleto,1,131.47
01e6f40a293da5a9dc11e49695c7541d,1,boleto,1,64.09
6eab6f37ff2d390d23be84642739b500,1,credit_card,5,279.4
d2cb7c100806e87a227d413e9157cb76,1,boleto,1,75.07
b308154c76f89d8c52b41f7c8480d107,1,credit_card,7,71.66
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
93b63d0bd99c903fae0f7a00b72b507c,1,credit_card,3,164.35
141d3bf5aa7128f40bf2a60cef620b93,1,credit_card,3,159.03
4b918a356d581c76170acb5f5644e79f,1,credit_card,9,92.57
ca376f8f4042e61688af8cfd32d4e80e,1,credit_card,3,234.08
d1c60fd7acd42b1d2e2aecfeff348b23,1,credit_card,2,67.62
64e64a4dd77d71d6bc307f24af1e55ac,1,credit_card,1,22.29
c283d7942d2bbca2c27a9c15ee2a390e,1,credit_card,1,206.76
816b15129b14c066ff4f5755938aefb0,1,boleto,1,126.44
347610961383f5990e1d0ce3fd0afa5a,1,credit_card,6,314.3
a83755325957c8eed972dc614210922e,1,credit_card,1,120.92
52fe09ed9b59f3ee4be7b74b990d13bd,1,credit_card,2,39.41
f75517cfb973c21eab8559a870263794,1,credit_card,10,231.27
9bb824ec73ee38dbbc585f3bba4b34ac,1,credit_card,1,171.53
b8188e1985fbf9e2b94e3a0b64d58074,1,credit_card,3,86.15
5600c1fabd9c27cf4dc4a3aaf57a8e29,1,credit_card,2,58.16
ec89f64fa61a8186f474cf0a903fc4fa,1,credit_card,1,27.75
270f00466aae4f41f010eaba2da31425,1,credit_card,2,60.0
8effe67a72c715f926a6dc1a616a5ea9,1,credit_card,3,33.51
56430e0b9968b381942760e433583b27,1,debit_card,1,33.1
8c53283eca3bc0e603a48f2b8725e96f,1,credit_card,1,17.86
ac033ca6c43caa50310de844a7868c8e,1,boleto,1,74.03
7db5f2eb8f5f54db9f9e71ba4296bcbf,2,voucher,1,0.01
5cfaa2e60887ab4aed7d4e637efe2156,1,credit_card,5,50.5
1d50a1ce4cf6a22155891f66fb4117b0,1,boleto,1,66.64
6e2b63d5084b319e8d72270b7882e119,1,credit_card,1,133.64
4e27ad7f1a6821ceddc8442eb1875014,1,credit_card,1,69.67
8ef3801f58da6b652a3082e1fa5b6589,1,credit_card,2,129.15
66c8dae0eb958ee945dc71efd0a99659,1,credit_card,1,49.09
347bf2a6f72b7c7650838aef5cd546be,1,credit_card,1,143.99
0588a3721b3d0a1f0b549fb84fd9cf10,1,credit_card,1,109.31
5662e7f8bbc6abe55e104ac06994a731,1,credit_card,3,57.69
d482cb92e40c8f1f96da881196ddd956,1,credit_card,3,117.94
928491f9ad93ae20de89668ea4a968e0,1,credit_card,1,77.5
7df4045bb089bf92e7eaf3b506b6423b,1,credit_card,2,110.77
1dfc284468e80b96e18103668871f465,1,credit_card,6,78.97
e417eb578007d00c0b658bc321e625fb,1,credit_card,6,111.02
dc3da2a9d0c93951fdc030194d48bb02,1,credit_card,1,200.75
633bd8dd4d19125b69aeee2526f79779,1,voucher,1,55.09
7ef259be178f9f06c72a57add85b71cd,1,credit_card,3,372.67
f31b8a3ba0d40cba425c9bd89c69a3e7,1,credit_card,2,42.78
69949f70025210748c64e8271bc63520,1,voucher,1,184.93
6e53f3d94a384e3e000da1b6d43641ab,1,credit_card,5,51.57
e3814831894acaf0ee4561b4a610b580,1,boleto,1,385.52
d35551f33906e01d035a5f40e1bd1732,1,credit_card,1,576.2
5bec9dad5626dc4e86bf625a3a6d0523,1,credit_card,6,63.06
03da04c1427d7b8bff38d76efca1029d,1,boleto,1,216.74
2934b40bb9305d3b5d74747be3181435,1,credit_card,10,194.48
